count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-484097.9561715908	187874.74024129112	--	-484097.9561715908	-0.008510075915043278	0.12602557212432547	-7.697814954567379	5.401941927906597	-3.159289403403991	4.238777710071577	-15.0	13.333046990276378	66682
-493038.73547127564	212433.4471836196	--	-493038.73547127564	-0.008369814300338979	0.1261201912564444	-7.729571760135289	5.394779359436324	-3.1008698632024054	4.178435243868264	-15.0	12.974535820162506	66497
-509302.88968352345	204327.41281356287	--	-509302.88968352345	-0.008031645251756508	0.1204868041543336	-7.673800453593392	5.3853475909833515	-3.1315479930345496	4.149183791790395	-15.0	12.953633419663078	66841
-446564.64006107766	189405.72135534426	--	-446564.64006107766	-0.008560590328007635	0.12418007841827654	-7.672421756508753	5.191682271756986	-3.2184915931747553	4.291483417041132	-15.0	14.452894894295149	66579
-473038.2895579243	188495.78206664033	--	-473038.2895579243	-0.008384384841221927	0.12472751336376803	-7.730747422941704	4.972942852685821	-3.1403773879980377	4.206947822152384	-15.0	9.544588553547278	66834
-499756.498555447	197313.0004806225	--	-499756.498555447	-0.008420340249193704	0.12492877423210678	-7.65321390543886	4.721905169311224	-3.1205474139290286	4.203121189235273	-15.0	9.638853085942984	66619
-538140.9871015105	250333.377514801	--	-538140.9871015105	-0.008479412283738073	0.12669412714730052	-7.581607210295681	4.66218793755873	-3.177580702948545	4.248275954974775	-15.0	14.47268046649144	66575
-489607.31584285543	193095.71956570214	--	-489607.31584285543	-0.007911719100531327	0.12150897370945532	-7.600125309268171	4.7142346302700755	-3.0300988227736116	4.102049553004902	-15.0	14.481809230264801	67124
-477192.5383359091	206915.65265220086	--	-477192.5383359091	-0.008274495284444088	0.12268301470297248	-7.63199427839692	4.754571786004692	-3.1519699542358826	4.200894124263795	-15.0	14.47935434862368	66603
-455717.25702172634	207195.08709001835	--	-455717.25702172634	-0.008513289867175576	0.12336466542000046	-7.430091216310911	4.577949326418947	-3.1323912514530488	4.18563130674379	-15.0	14.479236945308832	66655
-470875.85021686816	193229.06636874643	--	-470875.85021686816	-0.008496701773602622	0.12223349332434641	-7.3204579026618575	4.2806339758102325	-3.061902608772721	4.116359907714795	-15.0	14.461865237094615	66688
-525748.4297901386	219241.491840906	--	-525748.4297901386	-0.007789806923577319	0.12190837818476685	-7.309364376277734	4.252470777700964	-2.969352004380086	4.081983422357395	-15.0	14.691930155574534	66632
-567941.9525817628	241739.34459332048	--	-567941.9525817628	-0.008146193830502866	0.12348771161815421	-7.571557752097726	4.340278242217124	-3.1415575782547913	4.204219866453716	-15.0	14.930343287905213	66759
-537905.8539969773	211969.29155998156	--	-537905.8539969773	-0.008368093458991865	0.12432317269304369	-7.389529374265017	4.161071768852913	-3.2233177017245582	4.268416680398391	-15.0	9.538391853210795	67137
-527387.1646290405	230911.5594714912	--	-527387.1646290405	-0.008311837498880658	0.1232327969719644	-7.4474334963146855	4.146382974836129	-3.147613365994099	4.163287955326639	-15.0	12.085159546663087	66783
-506614.9189453256	221226.35530527178	--	-506614.9189453256	-0.008117245319398756	0.12035816089440776	-7.41239901742503	4.420811326535496	-3.111611728382995	4.092327666521443	-15.0	12.642455761046369	66677
-479903.79138987866	205962.1614068923	--	-479903.79138987866	-0.008482319186762559	0.12207019475952902	-7.415844189261112	4.194825012755725	-3.224667157865292	4.232867624434554	-15.0	14.308359850379663	66607
-523438.59759533586	204483.6170018337	--	-523438.59759533586	-0.008100446254779759	0.12251260451600819	-7.300397952349579	3.966338502446602	-3.0900010244655935	4.133152801061407	-15.0	14.29486649855657	66669
-513327.2052143985	206672.81279485353	--	-513327.2052143985	-0.00817243058405532	0.12224843532750054	-7.329636745675158	3.9039037446485834	-3.0847724764164512	4.0807506008401155	-15.0	14.296951882704395	66781
-474806.50468833937	184382.75598097368	--	-474806.50468833937	-0.008022437006580322	0.12108172869753538	-7.363330462567984	4.039378622830427	-3.0329201658683567	4.09196539093091	-15.0	14.283094197232705	66720
-510377.1137014412	217526.38579658797	--	-510377.1137014412	-0.008027109028270538	0.11937576079235292	-7.244752531532286	3.9215088841872388	-3.004646020659159	4.0484500218265485	-15.0	14.85088968289208	66539
