time,used,free
2026-02-02 02:37:38,12225,3718
2026-02-02 02:38:38,13345,2598
2026-02-02 02:39:38,14306,1637
2026-02-02 02:40:38,14226,1717
2026-02-02 02:41:38,12058,3885
2026-02-02 02:42:38,14154,1789
2026-02-02 02:43:38,10902,5041
2026-02-02 02:44:38,10742,5201
2026-02-02 02:45:38,11934,4009
2026-02-02 02:46:38,12069,3874
2026-02-02 02:47:38,14301,1642
2026-02-02 02:48:38,13607,2336
2026-02-02 02:49:38,13142,2801
2026-02-02 02:50:38,13810,2133
2026-02-02 02:51:38,14810,1133
2026-02-02 02:52:38,14267,1676
2026-02-02 02:53:38,13236,2707
2026-02-02 02:54:38,13546,2397
2026-02-02 02:55:38,13488,2455
2026-02-02 02:56:38,13632,2311
2026-02-02 02:57:38,14192,1751
2026-02-02 02:58:38,13957,1986
2026-02-02 02:59:38,11386,4557
2026-02-02 03:00:38,10958,4985
2026-02-02 03:01:38,11283,4660
2026-02-02 03:02:38,12641,3302
2026-02-02 03:03:38,13389,2554
2026-02-02 03:04:38,13440,2503
2026-02-02 03:05:38,14130,1813
2026-02-02 03:06:38,13068,2875
2026-02-02 03:07:38,11875,4068
2026-02-02 03:08:38,11016,4927
2026-02-02 03:09:38,10208,5735
2026-02-02 03:10:38,10550,5393
2026-02-02 03:11:38,11418,4525
2026-02-02 03:12:38,12699,3244
2026-02-02 03:13:38,11494,4449
2026-02-02 03:14:38,11870,4073
2026-02-02 03:15:38,12270,3673
2026-02-02 03:16:38,12054,3889
2026-02-02 03:17:38,12653,3290
2026-02-02 03:18:38,14347,1596
2026-02-02 03:19:38,14648,1295
2026-02-02 03:20:38,11470,4473
2026-02-02 03:21:38,10670,5273
2026-02-02 03:22:38,10670,5273
2026-02-02 03:23:38,12362,3581
2026-02-02 03:24:38,12372,3571
2026-02-02 03:25:38,14599,1344
2026-02-02 03:26:38,14262,1681
2026-02-02 03:27:38,11230,4713
2026-02-02 03:28:38,12210,3733
2026-02-02 03:29:38,13648,2295
2026-02-02 03:30:38,12103,3840
2026-02-02 03:31:38,14430,1513
2026-02-02 03:32:38,14478,1465
2026-02-02 03:33:38,13972,1971
